comment_id,video_id,source_title,source_url,published_at,like_count,text,label,annotator,notes
Ugyl0rpwQyayVtB1Wix4AaABAg,g7Et92hQ_yE,"🔴LIVE Scan Ijazah Jokowi Resmi Ditunjukan, Asli? | RAKYAT BERSUARA (25/11)",https://www.youtube.com/watch?v=g7Et92hQ_yE&t=2237s,2025-11-26T09:55:59Z,0,Ijazah hilang bisa minta salinan dari UGM,,,
UgyMY2rWPOczvFnRgfN4AaABAg,_8H_-uNHKL4,#UGMMENJAWAB IJAZAH JOKO WIDODO,https://www.youtube.com/watch?v=_8H_-uNHKL4&t=351s,2026-02-24T10:58:23Z,0,Semakin hari semakin nyata sampai tgl 24 feb 2026 izajah nya semakin terlihat PALSU.,,,
Ugx6_x2RI9MMlGvmvft4AaABAg,UEocTRWhtsE,"[FULL] AKHIRNYA MELIHAT IJAZAH JOKOWI, ROY SURYO SUDAH PERCAYA? | Primetime News",https://www.youtube.com/watch?v=UEocTRWhtsE,2025-12-17T01:16:35Z,0,"Yang menentukan keaslian ijasah pk jokowi bukan si panci , yg penting sekarang gimana agar mulut panci iblis ini berhenti memfitnah, menghasut rakyat , satu satunya jalan manusia2 iblis ini di penjara🎉🎉",,,
Ugy5oK5SyIMQTbut3_V4AaABAg,g7Et92hQ_yE,"🔴LIVE Scan Ijazah Jokowi Resmi Ditunjukan, Asli? | RAKYAT BERSUARA (25/11)",https://www.youtube.com/watch?v=g7Et92hQ_yE&t=2237s,2025-12-09T15:35:43Z,0,"Chanel aneh, yg ngompor2in rakyat, bikin perang saudara ... Rakyat bersuara terlalu bebas.. yang ada malah perang saudara bossss",,,
Ugwta-RmGAQ9WLCw6FF4AaABAg,UE2gk8vMgBQ,Gebrakan Baru Rocky Gerung Memasuki Drama Kasus Ijazah Jokowi | AKIP tvOne,https://www.youtube.com/watch?v=UE2gk8vMgBQ,2026-01-29T13:40:01Z,0,kasian si Damai kelihatan lelah dn stres krn kurang tidur dn tak enak makan ..sementara Egi nyantai di luar negri ..,,,
UgywDrSi0BeY5jmNd6R4AaABAg,LgaDFmaTpak,"[FULL] Babak Baru! Kasus Ijazah Jokowi, Roy Cs-Susno Bereaksi, Eggi & Damai Dapat SP3 | BOLA LIAR",https://www.youtube.com/watch?v=LgaDFmaTpak,2026-01-17T03:57:02Z,52,"Andi aswan keliatan bohongnya, jilatannya kuat bgt, sok pinter, pdhl kuasa hukumnya si yakup tidak tau bnyak, sama sama penjilat tpi beda kelas😂",,,
Ugy0gYdy0AXRdNusmNV4AaABAg,TcNSqpBPle4,"FULL Dihina Soal Ijazah, Jokowi Akhirnya Angkat Suara! | Rakyat Bersuara | 20/05",https://www.youtube.com/watch?v=TcNSqpBPle4,2026-03-20T15:08:44Z,0,Cepat / lambat menutupi kebohongan sama saja mentupi aip sendiri.,,,
UgzW6E5xFEstN1J0WyZ4AaABAg,tQKnVXSL7nc,"[FULL] Perdana! Sidang MK Uji Materi Gugatan Roy Suryo Cs Kasus Ijazah Jokowi, Hakim Minta Rombak?",https://www.youtube.com/watch?v=tQKnVXSL7nc,2026-02-10T14:00:43Z,20,Menurut pandangan sya gk bakal sanggup untuk dilanjutkan permohonan akan ditarik,,,
UgzrdCU3BIgOnTGJvIB4AaABAg,HcwZx39bP80,"Kasus Ijazah Jokowi, Apa yang Sebenarnya Terjadi? #HOTROOM",https://www.youtube.com/watch?v=HcwZx39bP80,2025-12-18T09:14:35Z,0,"Semua kasus hukum yang berkaitan dengan petinggi Negara dan politisi pasti sengaja dibuat ribut dan ribet, dalangnya udah jelas si perusak demokrasi",,,
UgycsYlwWyb0j4BJj5t4AaABAg,tQKnVXSL7nc,"[FULL] Perdana! Sidang MK Uji Materi Gugatan Roy Suryo Cs Kasus Ijazah Jokowi, Hakim Minta Rombak?",https://www.youtube.com/watch?v=tQKnVXSL7nc,2026-02-10T13:42:56Z,0,"sudah di bilang, tempat yg jitu utk di datangi dan terbukti berhasil adalah bukan ke MK, bukan ke komnasham, bukan ke kemndikti, bukan ke makam, bukan ke desa ketoyan,,, dan tempat yg jitu itu ada dimana???,,, ada di Solo,,😁",,,
UgzmcqT_6Wd1bN11O-14AaABAg,TcNSqpBPle4,"FULL Dihina Soal Ijazah, Jokowi Akhirnya Angkat Suara! | Rakyat Bersuara | 20/05",https://www.youtube.com/watch?v=TcNSqpBPle4,2025-05-20T18:45:18Z,15,Percuma saja bang roy teriak-teriak.. Harusnya jangan dulu diungkap. Jika di ungkap sekarang bisa jadi dipersiapkan oleh pihak pak jokowi... Semua terlihat janggal. Namun ujungnya pasti asli.. Dengan segala cara dan upaya.,,,
UgyIi23WOQnY0h5Brp94AaABAg,4yjXBLcjynU,"Diana Murni Sindir Roy Suryo: “Menghadapi Orang Gila, Kita Harus Pura-Pura Gila!” | Rakber (14/10)",https://www.youtube.com/watch?v=4yjXBLcjynU,2025-12-31T00:16:42Z,0,GEROMBOLAN BERANDALAN DI BUNGKUS SOK AGAMIS 😂😂😂😂😂😂,,,
Ugx5H_qL5Fir9oI67RB4AaABAg,tQKnVXSL7nc,"[FULL] Perdana! Sidang MK Uji Materi Gugatan Roy Suryo Cs Kasus Ijazah Jokowi, Hakim Minta Rombak?",https://www.youtube.com/watch?v=tQKnVXSL7nc,2026-02-10T15:04:45Z,0,alah2 bukan sidang di pengadilan .ko lari ke MK.ulur aja sampek semua di patok dua di alam lain.,,,
Ugxpk3L9T-29-Wnv2-h4AaABAg,g7Et92hQ_yE,"🔴LIVE Scan Ijazah Jokowi Resmi Ditunjukan, Asli? | RAKYAT BERSUARA (25/11)",https://www.youtube.com/watch?v=g7Et92hQ_yE&t=2237s,2025-11-26T12:12:07Z,1,"sebetulnya andi azwan sdh tau kalau ijazah jokowi selama ini palsu, tapi demi harga diri dia ngotot membela jokowi...hehe",,,
UgydGhvVM0ErvpKadx94AaABAg,4yjXBLcjynU,"Diana Murni Sindir Roy Suryo: “Menghadapi Orang Gila, Kita Harus Pura-Pura Gila!” | Rakber (14/10)",https://www.youtube.com/watch?v=4yjXBLcjynU,2025-11-19T14:30:59Z,0,Mulai kambuh gilanya Roy Suryo 😂😂,,,
UgxDTANSlFPXcfup4I54AaABAg,_8H_-uNHKL4,#UGMMENJAWAB IJAZAH JOKO WIDODO,https://www.youtube.com/watch?v=_8H_-uNHKL4&t=351s,2025-12-16T06:45:50Z,0,sekarang bisa berbohong nanti di akhirat semuanya akan ketahuan,,,
Ugx1D27QYn9tFyleejN4AaABAg,g7Et92hQ_yE,"🔴LIVE Scan Ijazah Jokowi Resmi Ditunjukan, Asli? | RAKYAT BERSUARA (25/11)",https://www.youtube.com/watch?v=g7Et92hQ_yE&t=2237s,2025-11-26T14:38:31Z,11,"Lucu kalau lihat pak roy kalau balasin argumennya, terhibur dan terlihat pak roy dan effendi keilmuannya baik dan kejutannya andi tiba2 jadi ahli",,,
Ugz2J0psKGD0bouLU9d4AaABAg,LgaDFmaTpak,"[FULL] Babak Baru! Kasus Ijazah Jokowi, Roy Cs-Susno Bereaksi, Eggi & Damai Dapat SP3 | BOLA LIAR",https://www.youtube.com/watch?v=LgaDFmaTpak,2026-01-18T14:57:19Z,0,Katanya negarawan tapi waktunya habis buat sandiwara ijazahnya sendiri yg di duga Aspal atau bodong,,,
UgwovkNCpYt89yatrdJ4AaABAg,_8H_-uNHKL4,#UGMMENJAWAB IJAZAH JOKO WIDODO,https://www.youtube.com/watch?v=_8H_-uNHKL4&t=351s,2025-08-24T02:14:08Z,39,"Undang juga orang-orang yang ada di Video ini sekaligus dengan Roy Suryo, Rismon Sianipar dan dokter Tiffa di acara Dua Arah",,,
