comment_id,llm_label,confidence
Ugx-WV0tVTvnzE-YJfF4AaABAg,Positif,0.85
UgxJlWBBJPRLo2BWA5R4AaABAg,Positif,0.95
Ugy2DGpGVmtkAAHfS3h4AaABAg,Positif,0.85
UgyDTwC2HEC9Hi44jKd4AaABAg,Positif,0.85
Ugw5VYeAy-Ex4hGZVxx4AaABAg,Negatif,0.85
Ugz0OyW3jmhiCiV00oN4AaABAg,Negatif,0.8
UgxO90o-4UcJRW6lPJ54AaABAg,Negatif,0.85
UgwmXLATiMEsXL96E814AaABAg,Positif,0.85
UgxKJAlE3e763MkhNFV4AaABAg,Negatif,0.8
UgwYHJK0RWQGPjS6ehd4AaABAg,Positif,0.92
Ugz38qeI3DpnEd97pwJ4AaABAg,Negatif,0.85
UgxODGPyqPI54JohRfp4AaABAg,Positif,0.85
UgyCtMPSUuFQRKgCqqB4AaABAg,Negatif,0.8
Ugykb7MLQ90DcJQW8Mh4AaABAg,Positif,0.9
UgwC-RsPj3lKTl7kscN4AaABAg,Positif,0.85
Ugw2BCiw2Md2KdwRt1l4AaABAg,Positif,0.95
UgwsOBQn1x5AYkID-sp4AaABAg,Positif,0.85
UgwY7LVRC9sLCyRm5EB4AaABAg,Negatif,0.85
UgwfJmosz6Q_yYBaXFN4AaABAg,Positif,0.85
Ugx7etFgceJ1ZU85ZYJ4AaABAg,Negatif,0.8
UgydpjRDL6ZC9f4_4G14AaABAg,Negatif,0.8
UgxAxHyVxW0wppygdXR4AaABAg,Positif,0.85
UgxGSn_occbzFv8AOZN4AaABAg,Negatif,0.8
UgyrCzPMWpAR5WdvOiF4AaABAg,Negatif,0.8
UgywIqhyGjh6Pxzc-Oh4AaABAg,Positif,0.9
UgyzJExzJw88v-zWJuZ4AaABAg,Negatif,0.8
Ugyiin1eTgeBr9-5R1N4AaABAg,Positif,0.9
UgwyRgFJyjZTv1LOp3V4AaABAg,Positif,0.9
UgxVQCeSrIiRzukpwz54AaABAg,Negatif,0.8
UgwyTH_znc-Kj9tx9mt4AaABAg,Positif,0.85
UgzEzdpJJpt_uw1WyNx4AaABAg,Positif,0.9
UgyR-jKVNs6LhHabtEZ4AaABAg,Positif,0.85
UgxEcYBqyjkSFZO7PU54AaABAg,Positif,0.85
Ugz9dBWroQF7_-DaMiR4AaABAg,Negatif,0.8
UgyESHtlAZ4kiJcFO0x4AaABAg,Positif,0.85
UgxXDx8j_acPbxoppRh4AaABAg,Negatif,0.8
Ugy6xWEL0-LMsrAcniZ4AaABAg,Positif,0.9
UgwaRfeB4xfXsULm7x54AaABAg,Positif,0.85
UgwcT2SmnGXj4eFK0hN4AaABAg,Negatif,0.85
UgyIcEktx6XyIGN4QVB4AaABAg,Negatif,0.8
UgwfO8vAUDHpxgKL_jZ4AaABAg,Negatif,0.85
UgwII6TO1jVW4BkeHnB4AaABAg,Negatif,0.8
UgwysAcQHMqxyucAvDJ4AaABAg,Positif,0.85
Ugz3NMiEhmXA3p2ifp54AaABAg,Negatif,0.85
UgyqbmOAys88b2ncIw54AaABAg,Negatif,0.8
UgxAOLNBl21TK5bDU5N4AaABAg,Positif,0.85
UgyzSWcdDNm4XNJaYxp4AaABAg,Negatif,0.85
UgyTMnUswAkbVdTCci14AaABAg,Negatif,0.85
Ugwk-OtmZWm_RDsWuLF4AaABAg,Positif,0.85
Ugxue2Nq0Nhe6xm-FYB4AaABAg,Negatif,0.85
UgyLnlOuCTUUKHysvRh4AaABAg,Negatif,0.8
Ugyd2sS8_1seHXlETXJ4AaABAg,Positif,0.85
UgyWEBaC4x_z6C3IiPB4AaABAg,Negatif,0.9
Ugz74TwYv4QCXv-HYRB4AaABAg,Negatif,0.85
UgyACGURsSNrjm95KZt4AaABAg,Negatif,0.8
UgxxZ05mc846OA0Hxvl4AaABAg,Positif,0.9
Ugw2J4TrEBV7uCaUTyd4AaABAg,Positif,0.85
UgwuL9vlbOjvdi20j1B4AaABAg,Positif,0.85
Ugzeajg0gQtjYFzwR_14AaABAg,Negatif,0.85
UgxuiHiIJ8CsI0RyHU94AaABAg,Positif,0.9
Ugxq0ajt3AO-xzIOBvB4AaABAg,Positif,0.9
UgweSt_lSNIIBP9M8RV4AaABAg,Negatif,0.8
